Window_Idx	Start	End	Center	Pred_Label	Prob_Neu	Prob_Hard	Prob_Soft
54	4612	6505	5503	NEUTRAL	1.0000	0.0000	0.0000
55	4728	6974	5647	NEUTRAL	1.0000	0.0000	0.0000
56	4809	7368	5754	NEUTRAL	1.0000	0.0000	0.0000
57	4932	7581	5806	NEUTRAL	1.0000	0.0000	0.0000
58	5007	7635	5875	NEUTRAL	1.0000	0.0000	0.0000
59	5096	7712	5943	NEUTRAL	1.0000	0.0000	0.0000
60	5169	8080	6018	NEUTRAL	1.0000	0.0000	0.0000
61	5247	8340	6069	NEUTRAL	1.0000	0.0000	0.0000
62	5318	8510	6151	NEUTRAL	1.0000	0.0000	0.0000
63	5401	8785	6274	NEUTRAL	1.0000	0.0000	0.0000
64	5503	8839	6505	NEUTRAL	1.0000	0.0000	0.0000
65	5647	8905	6974	NEUTRAL	1.0000	0.0000	0.0000
66	5754	8965	7368	NEUTRAL	1.0000	0.0000	0.0000
67	5806	9067	7581	NEUTRAL	1.0000	0.0000	0.0000
68	5875	9130	7635	NEUTRAL	1.0000	0.0000	0.0000
69	5943	9184	7712	NEUTRAL	1.0000	0.0000	0.0000
70	6018	9743	8080	NEUTRAL	1.0000	0.0000	0.0000
71	6069	9831	8340	NEUTRAL	1.0000	0.0000	0.0000
72	6151	9903	8510	NEUTRAL	1.0000	0.0000	0.0000
73	6274	9978	8785	NEUTRAL	1.0000	0.0000	0.0000
74	6505	10056	8839	NEUTRAL	1.0000	0.0000	0.0000
75	6974	10143	8905	NEUTRAL	1.0000	0.0000	0.0000
76	7368	10227	8965	NEUTRAL	1.0000	0.0000	0.0000
77	7581	10301	9067	NEUTRAL	1.0000	0.0000	0.0000
78	7635	10368	9130	NEUTRAL	1.0000	0.0000	0.0000
79	7712	10424	9184	NEUTRAL	1.0000	0.0000	0.0000
80	8080	10485	9743	NEUTRAL	1.0000	0.0000	0.0000
81	8340	10557	9831	NEUTRAL	1.0000	0.0000	0.0000
82	8510	10611	9903	NEUTRAL	1.0000	0.0000	0.0000
83	8785	10662	9978	NEUTRAL	1.0000	0.0000	0.0000
84	8839	10728	10056	NEUTRAL	1.0000	0.0000	0.0000
85	8905	10858	10143	NEUTRAL	1.0000	0.0000	0.0000
86	8965	10977	10227	NEUTRAL	1.0000	0.0000	0.0000
87	9067	11058	10301	NEUTRAL	1.0000	0.0000	0.0000
88	9130	11139	10368	NEUTRAL	1.0000	0.0000	0.0000
89	9184	11277	10424	NEUTRAL	1.0000	0.0000	0.0000
90	9743	11403	10485	NEUTRAL	1.0000	0.0000	0.0000
91	9831	11481	10557	NEUTRAL	0.9995	0.0001	0.0004
92	9903	11535	10611	NEUTRAL	0.9999	0.0000	0.0000
93	9978	11586	10662	NEUTRAL	0.9981	0.0002	0.0017
94	10056	11646	10728	NEUTRAL	0.9968	0.0002	0.0030
95	10143	11697	10858	NEUTRAL	0.9986	0.0001	0.0013
96	10227	12010	10977	NEUTRAL	1.0000	0.0000	0.0000
97	10301	12067	11058	NEUTRAL	1.0000	0.0000	0.0000
98	10368	12148	11139	NEUTRAL	1.0000	0.0000	0.0000
99	10424	12232	11277	NEUTRAL	1.0000	0.0000	0.0000
100	10485	12316	11403	NEUTRAL	1.0000	0.0000	0.0000
101	10557	12370	11481	NEUTRAL	0.9997	0.0000	0.0003
102	10611	12448	11535	NEUTRAL	0.9999	0.0000	0.0001
103	10662	12557	11586	NEUTRAL	1.0000	0.0000	0.0000
104	10728	12640	11646	NEUTRAL	1.0000	0.0000	0.0000
105	10858	12685	11697	NEUTRAL	0.9999	0.0000	0.0001
106	10977	12814	12010	NEUTRAL	1.0000	0.0000	0.0000
107	11058	12907	12067	NEUTRAL	1.0000	0.0000	0.0000
108	11139	13018	12148	NEUTRAL	1.0000	0.0000	0.0000
109	11277	13132	12232	NEUTRAL	1.0000	0.0000	0.0000
110	11403	13187	12316	NEUTRAL	1.0000	0.0000	0.0000
111	11481	13228	12370	NEUTRAL	1.0000	0.0000	0.0000
112	11535	13282	12448	NEUTRAL	1.0000	0.0000	0.0000
113	11586	13345	12557	NEUTRAL	1.0000	0.0000	0.0000
114	11646	13414	12640	NEUTRAL	1.0000	0.0000	0.0000
115	11697	13474	12685	NEUTRAL	1.0000	0.0000	0.0000
116	12010	13531	12814	NEUTRAL	0.9962	0.0001	0.0037
117	12067	13684	12907	NEUTRAL	0.9965	0.0002	0.0033
118	12148	14117	13018	NEUTRAL	0.9992	0.0000	0.0008
119	12232	14177	13132	NEUTRAL	0.9916	0.0006	0.0078
120	12316	14222	13187	NEUTRAL	0.9985	0.0001	0.0014
121	12370	14288	13228	NEUTRAL	0.9795	0.0004	0.0201
122	12448	14327	13282	NEUTRAL	0.8870	0.0005	0.1125
123	12557	14386	13345	NEUTRAL	0.9776	0.0003	0.0221
124	12640	14447	13414	NEUTRAL	0.7273	0.0000	0.2726
125	12685	14528	13474	NEUTRAL	0.9939	0.0001	0.0060
126	12814	14579	13531	NEUTRAL	0.9992	0.0000	0.0007
127	12907	14623	13684	NEUTRAL	0.9994	0.0001	0.0005
128	13018	14684	14117	NEUTRAL	0.9989	0.0001	0.0009
129	13132	14714	14177	NEUTRAL	0.9949	0.0011	0.0040
130	13187	14753	14222	NEUTRAL	0.9706	0.0043	0.0251
131	13228	14841	14288	NEUTRAL	0.9950	0.0013	0.0037
132	13282	14888	14327	NEUTRAL	0.9990	0.0002	0.0008
133	13345	14950	14386	NEUTRAL	0.9924	0.0011	0.0065
134	13414	14984	14447	NEUTRAL	0.9961	0.0006	0.0033
135	13474	15043	14528	NEUTRAL	0.9502	0.0092	0.0406
136	13531	15098	14579	NEUTRAL	0.8974	0.0070	0.0956
137	13684	15146	14623	NEUTRAL	0.9925	0.0009	0.0066
138	14117	15224	14684	NEUTRAL	0.9885	0.0024	0.0091
139	14177	15281	14714	NEUTRAL	0.9508	0.0186	0.0306
140	14222	15392	14753	NEUTRAL	0.9861	0.0049	0.0090
141	14288	15461	14841	NEUTRAL	0.9969	0.0010	0.0021
142	14327	15497	14888	NEUTRAL	0.9963	0.0013	0.0025
143	14386	15583	14950	NEUTRAL	0.9897	0.0047	0.0056
144	14447	15632	14984	NEUTRAL	0.9759	0.0109	0.0132
145	14528	15704	15043	NEUTRAL	0.9215	0.0324	0.0461
146	14579	15779	15098	NEUTRAL	0.9695	0.0109	0.0196
147	14623	15842	15146	NEUTRAL	0.9949	0.0026	0.0025
148	14684	15885	15224	NEUTRAL	0.9619	0.0146	0.0236
149	14714	15996	15281	NEUTRAL	0.9483	0.0169	0.0348
150	14753	16032	15392	NEUTRAL	0.9642	0.0165	0.0193
151	14841	16085	15461	NEUTRAL	0.9536	0.0140	0.0324
152	14888	16154	15497	NEUTRAL	0.9993	0.0002	0.0005
153	14950	16352	15583	NEUTRAL	1.0000	0.0000	0.0000
154	14984	16427	15632	NEUTRAL	1.0000	0.0000	0.0000
155	15043	16479	15704	NEUTRAL	1.0000	0.0000	0.0000
156	15098	16598	15779	NEUTRAL	1.0000	0.0000	0.0000
157	15146	16676	15842	NEUTRAL	1.0000	0.0000	0.0000
158	15224	16781	15885	NEUTRAL	1.0000	0.0000	0.0000
159	15281	16823	15996	NEUTRAL	1.0000	0.0000	0.0000
160	15392	16937	16032	NEUTRAL	1.0000	0.0000	0.0000
161	15461	17042	16085	NEUTRAL	1.0000	0.0000	0.0000
162	15497	17093	16154	NEUTRAL	1.0000	0.0000	0.0000
163	15583	17147	16352	NEUTRAL	1.0000	0.0000	0.0000
164	15632	17229	16427	NEUTRAL	1.0000	0.0000	0.0000
165	15704	17327	16479	NEUTRAL	1.0000	0.0000	0.0000
166	15779	17375	16598	NEUTRAL	1.0000	0.0000	0.0000
167	15842	17441	16676	NEUTRAL	1.0000	0.0000	0.0000
168	15885	17514	16781	NEUTRAL	1.0000	0.0000	0.0000
169	15996	17707	16823	NEUTRAL	1.0000	0.0000	0.0000
170	16032	17785	16937	NEUTRAL	1.0000	0.0000	0.0000
171	16085	17864	17042	NEUTRAL	1.0000	0.0000	0.0000
172	16154	17935	17093	NEUTRAL	1.0000	0.0000	0.0000
173	16352	17992	17147	NEUTRAL	1.0000	0.0000	0.0000
174	16427	18088	17229	NEUTRAL	1.0000	0.0000	0.0000
175	16479	18137	17327	NEUTRAL	1.0000	0.0000	0.0000
176	16598	18238	17375	NEUTRAL	1.0000	0.0000	0.0000
177	16676	18274	17441	NEUTRAL	1.0000	0.0000	0.0000
178	16781	18343	17514	NEUTRAL	1.0000	0.0000	0.0000
179	16823	18458	17707	NEUTRAL	0.9998	0.0000	0.0002
180	16937	18551	17785	NEUTRAL	0.9999	0.0000	0.0001
181	17042	18627	17864	NEUTRAL	1.0000	0.0000	0.0000
182	17093	18692	17935	NEUTRAL	1.0000	0.0000	0.0000
183	17147	18790	17992	NEUTRAL	1.0000	0.0000	0.0000
184	17229	18875	18088	NEUTRAL	1.0000	0.0000	0.0000
185	17327	18977	18137	NEUTRAL	1.0000	0.0000	0.0000
186	17375	19067	18238	NEUTRAL	1.0000	0.0000	0.0000
187	17441	19197	18274	NEUTRAL	1.0000	0.0000	0.0000
188	17514	19259	18343	NEUTRAL	1.0000	0.0000	0.0000
189	17707	19307	18458	NEUTRAL	1.0000	0.0000	0.0000
190	17785	19432	18551	NEUTRAL	0.9999	0.0000	0.0001
191	17864	19467	18627	NEUTRAL	1.0000	0.0000	0.0000
192	17935	19551	18692	NEUTRAL	1.0000	0.0000	0.0000
193	17992	19605	18790	NEUTRAL	1.0000	0.0000	0.0000
194	18088	19704	18875	NEUTRAL	1.0000	0.0000	0.0000
195	18137	19851	18977	NEUTRAL	1.0000	0.0000	0.0000
196	18238	19944	19067	NEUTRAL	1.0000	0.0000	0.0000
197	18274	19995	19197	NEUTRAL	1.0000	0.0000	0.0000
198	18343	20028	19259	NEUTRAL	1.0000	0.0000	0.0000
199	18458	20081	19307	NEUTRAL	1.0000	0.0000	0.0000
200	18551	20246	19432	NEUTRAL	1.0000	0.0000	0.0000
201	18627	20264	19467	NEUTRAL	1.0000	0.0000	0.0000
202	18692	20313	19551	NEUTRAL	1.0000	0.0000	0.0000
203	18790	20375	19605	NEUTRAL	1.0000	0.0000	0.0000
204	18875	20422	19704	NEUTRAL	1.0000	0.0000	0.0000
205	18977	20482	19851	NEUTRAL	1.0000	0.0000	0.0000
206	19067	20542	19944	NEUTRAL	1.0000	0.0000	0.0000
207	19197	20608	19995	NEUTRAL	1.0000	0.0000	0.0000
208	19259	20674	20028	NEUTRAL	1.0000	0.0000	0.0000
209	19307	20717	20081	NEUTRAL	0.9999	0.0000	0.0001
210	19432	20773	20246	NEUTRAL	1.0000	0.0000	0.0000
211	19467	20834	20264	NEUTRAL	1.0000	0.0000	0.0000
212	19551	20887	20313	NEUTRAL	1.0000	0.0000	0.0000
213	19605	20987	20375	NEUTRAL	0.9999	0.0000	0.0001
214	19704	21033	20422	NEUTRAL	1.0000	0.0000	0.0000
215	19851	21091	20482	NEUTRAL	0.9985	0.0000	0.0015
216	19944	21159	20542	NEUTRAL	0.9998	0.0000	0.0002
217	19995	21241	20608	NEUTRAL	0.9983	0.0000	0.0017
218	20028	21304	20674	NEUTRAL	0.9998	0.0000	0.0002
219	20081	21354	20717	NEUTRAL	1.0000	0.0000	0.0000
220	20246	21405	20773	NEUTRAL	1.0000	0.0000	0.0000
221	20264	21472	20834	NEUTRAL	0.9999	0.0000	0.0000
222	20313	21531	20887	NEUTRAL	1.0000	0.0000	0.0000
223	20375	21607	20987	NEUTRAL	1.0000	0.0000	0.0000
224	20422	21678	21033	NEUTRAL	1.0000	0.0000	0.0000
225	20482	21730	21091	NEUTRAL	1.0000	0.0000	0.0000
226	20542	21835	21159	NEUTRAL	1.0000	0.0000	0.0000
227	20608	21877	21241	NEUTRAL	1.0000	0.0000	0.0000
228	20674	21956	21304	NEUTRAL	1.0000	0.0000	0.0000
229	20717	22016	21354	NEUTRAL	1.0000	0.0000	0.0000
230	20773	22066	21405	NEUTRAL	1.0000	0.0000	0.0000
231	20834	22110	21472	NEUTRAL	1.0000	0.0000	0.0000
232	20887	22162	21531	NEUTRAL	1.0000	0.0000	0.0000
233	20987	22201	21607	NEUTRAL	1.0000	0.0000	0.0000
234	21033	22295	21678	NEUTRAL	1.0000	0.0000	0.0000
235	21091	22351	21730	NEUTRAL	1.0000	0.0000	0.0000
236	21159	22379	21835	NEUTRAL	1.0000	0.0000	0.0000
237	21241	22475	21877	NEUTRAL	1.0000	0.0000	0.0000
238	21304	22521	21956	NEUTRAL	1.0000	0.0000	0.0000
239	21354	22559	22016	NEUTRAL	1.0000	0.0000	0.0000
240	21405	22600	22066	NEUTRAL	1.0000	0.0000	0.0000
241	21472	22656	22110	NEUTRAL	1.0000	0.0000	0.0000
242	21531	22700	22162	NEUTRAL	1.0000	0.0000	0.0000
243	21607	22752	22201	NEUTRAL	1.0000	0.0000	0.0000
244	21678	22795	22295	NEUTRAL	1.0000	0.0000	0.0000
245	21730	22823	22351	NEUTRAL	1.0000	0.0000	0.0000
246	21835	22882	22379	NEUTRAL	1.0000	0.0000	0.0000
247	21877	22961	22475	NEUTRAL	1.0000	0.0000	0.0000
248	21956	22991	22521	NEUTRAL	0.9999	0.0000	0.0001
249	22016	23067	22559	NEUTRAL	0.9999	0.0000	0.0001
250	22066	23153	22600	NEUTRAL	1.0000	0.0000	0.0000
251	22110	23382	22656	NEUTRAL	1.0000	0.0000	0.0000
252	22162	23444	22700	NEUTRAL	1.0000	0.0000	0.0000
253	22201	23515	22752	NEUTRAL	1.0000	0.0000	0.0000
254	22295	23564	22795	NEUTRAL	1.0000	0.0000	0.0000
255	22351	23619	22823	NEUTRAL	1.0000	0.0000	0.0000
256	22379	23783	22882	NEUTRAL	1.0000	0.0000	0.0000
257	22475	23885	22961	NEUTRAL	1.0000	0.0000	0.0000
258	22521	23951	22991	NEUTRAL	1.0000	0.0000	0.0000
259	22559	24071	23067	NEUTRAL	1.0000	0.0000	0.0000
260	22600	24123	23153	NEUTRAL	1.0000	0.0000	0.0000
261	22656	24209	23382	NEUTRAL	1.0000	0.0000	0.0000
262	22700	24257	23444	NEUTRAL	1.0000	0.0000	0.0000
263	22752	24344	23515	NEUTRAL	1.0000	0.0000	0.0000
264	22795	24409	23564	NEUTRAL	1.0000	0.0000	0.0000
265	22823	24435	23619	NEUTRAL	1.0000	0.0000	0.0000
266	22882	24494	23783	NEUTRAL	1.0000	0.0000	0.0000
267	22961	24573	23885	NEUTRAL	1.0000	0.0000	0.0000
268	22991	24692	23951	NEUTRAL	1.0000	0.0000	0.0000
269	23067	24758	24071	NEUTRAL	1.0000	0.0000	0.0000
270	23153	24830	24123	NEUTRAL	1.0000	0.0000	0.0000
271	23382	25105	24209	NEUTRAL	1.0000	0.0000	0.0000
272	23444	25153	24257	NEUTRAL	1.0000	0.0000	0.0000
273	23515	25577	24344	NEUTRAL	1.0000	0.0000	0.0000
274	23564	25914	24409	NEUTRAL	1.0000	0.0000	0.0000
275	23619	26025	24435	NEUTRAL	1.0000	0.0000	0.0000
276	23783	26108	24494	NEUTRAL	1.0000	0.0000	0.0000
277	23885	26302	24573	NEUTRAL	1.0000	0.0000	0.0000
278	23951	26338	24692	NEUTRAL	1.0000	0.0000	0.0000
279	24071	26379	24758	NEUTRAL	1.0000	0.0000	0.0000
280	24123	26443	24830	NEUTRAL	0.9998	0.0000	0.0002
281	24209	26488	25105	NEUTRAL	1.0000	0.0000	0.0000
282	24257	26558	25153	NEUTRAL	0.9999	0.0000	0.0001
283	24344	26605	25577	NEUTRAL	0.9999	0.0000	0.0001
284	24409	26753	25914	NEUTRAL	0.9996	0.0000	0.0004
285	24435	26832	26025	NEUTRAL	0.9999	0.0000	0.0001
286	24494	26937	26108	NEUTRAL	0.9999	0.0000	0.0001
287	24573	26985	26302	NEUTRAL	0.9991	0.0000	0.0008
288	24692	27042	26338	NEUTRAL	0.9999	0.0000	0.0001
289	24758	27074	26379	NEUTRAL	0.9994	0.0000	0.0006
290	24830	27148	26443	NEUTRAL	0.9993	0.0000	0.0007
291	25105	27267	26488	NEUTRAL	0.9999	0.0000	0.0001
292	25153	27330	26558	NEUTRAL	1.0000	0.0000	0.0000
293	25577	27382	26605	NEUTRAL	1.0000	0.0000	0.0000
294	25914	27454	26753	NEUTRAL	0.9997	0.0000	0.0003
295	26025	27507	26832	NEUTRAL	0.9990	0.0002	0.0007
296	26108	27564	26937	NEUTRAL	1.0000	0.0000	0.0000
297	26302	27640	26985	NEUTRAL	1.0000	0.0000	0.0000
298	26338	27717	27042	NEUTRAL	1.0000	0.0000	0.0000
299	26379	27768	27074	NEUTRAL	1.0000	0.0000	0.0000
300	26443	27828	27148	NEUTRAL	1.0000	0.0000	0.0000
301	26488	27876	27267	NEUTRAL	1.0000	0.0000	0.0000
302	26558	27924	27330	NEUTRAL	1.0000	0.0000	0.0000
303	26605	27991	27382	NEUTRAL	1.0000	0.0000	0.0000
304	26753	28083	27454	NEUTRAL	1.0000	0.0000	0.0000
305	26832	28146	27507	NEUTRAL	1.0000	0.0000	0.0000
306	26937	28215	27564	NEUTRAL	1.0000	0.0000	0.0000
307	26985	28347	27640	NEUTRAL	1.0000	0.0000	0.0000
308	27042	28413	27717	NEUTRAL	0.9999	0.0000	0.0001
309	27074	28504	27768	NEUTRAL	1.0000	0.0000	0.0000
310	27148	28539	27828	NEUTRAL	0.9999	0.0000	0.0001
311	27267	28588	27876	NEUTRAL	1.0000	0.0000	0.0000
312	27330	28638	27924	NEUTRAL	1.0000	0.0000	0.0000
313	27382	29529	27991	NEUTRAL	1.0000	0.0000	0.0000
314	27454	29580	28083	NEUTRAL	1.0000	0.0000	0.0000
315	27507	31282	28146	NEUTRAL	1.0000	0.0000	0.0000
316	27564	31589	28215	NEUTRAL	1.0000	0.0000	0.0000
317	27640	31793	28347	NEUTRAL	1.0000	0.0000	0.0000
318	27717	32081	28413	NEUTRAL	1.0000	0.0000	0.0000
319	27768	32329	28504	NEUTRAL	1.0000	0.0000	0.0000
320	27828	32642	28539	NEUTRAL	1.0000	0.0000	0.0000
321	27876	32985	28588	NEUTRAL	1.0000	0.0000	0.0000
322	27924	33286	28638	NEUTRAL	1.0000	0.0000	0.0000
323	27991	33528	29529	NEUTRAL	1.0000	0.0000	0.0000
324	28083	34106	29580	NEUTRAL	1.0000	0.0000	0.0000
325	28146	34294	31282	NEUTRAL	1.0000	0.0000	0.0000
326	28215	34461	31589	NEUTRAL	1.0000	0.0000	0.0000
327	28347	35680	31793	NEUTRAL	1.0000	0.0000	0.0000
328	28413	37252	32081	NEUTRAL	1.0000	0.0000	0.0000
329	28504	38260	32329	NEUTRAL	1.0000	0.0000	0.0000
330	28539	38660	32642	NEUTRAL	1.0000	0.0000	0.0000
331	28588	39061	32985	NEUTRAL	1.0000	0.0000	0.0000
332	28638	39408	33286	NEUTRAL	1.0000	0.0000	0.0000
333	29529	39915	33528	NEUTRAL	1.0000	0.0000	0.0000
334	29580	40482	34106	NEUTRAL	1.0000	0.0000	0.0000
335	31282	40693	34294	NEUTRAL	1.0000	0.0000	0.0000
336	31589	40824	34461	NEUTRAL	1.0000	0.0000	0.0000
337	31793	41151	35680	NEUTRAL	1.0000	0.0000	0.0000
338	32081	41533	37252	NEUTRAL	1.0000	0.0000	0.0000
339	32329	41780	38260	NEUTRAL	1.0000	0.0000	0.0000
340	32642	41955	38660	NEUTRAL	1.0000	0.0000	0.0000
341	32985	42287	39061	NEUTRAL	1.0000	0.0000	0.0000
342	33286	42496	39408	NEUTRAL	1.0000	0.0000	0.0000
343	33528	42695	39915	NEUTRAL	1.0000	0.0000	0.0000
344	34106	43084	40482	NEUTRAL	1.0000	0.0000	0.0000
345	34294	43372	40693	NEUTRAL	1.0000	0.0000	0.0000
346	34461	43635	40824	NEUTRAL	1.0000	0.0000	0.0000
347	35680	44023	41151	NEUTRAL	1.0000	0.0000	0.0000
348	37252	44254	41533	NEUTRAL	1.0000	0.0000	0.0000
349	38260	44464	41780	NEUTRAL	1.0000	0.0000	0.0000
350	38660	44663	41955	NEUTRAL	1.0000	0.0000	0.0000
351	39061	45187	42287	NEUTRAL	1.0000	0.0000	0.0000
352	39408	45535	42496	NEUTRAL	1.0000	0.0000	0.0000
353	39915	45731	42695	NEUTRAL	1.0000	0.0000	0.0000
354	40482	46135	43084	NEUTRAL	1.0000	0.0000	0.0000
355	40693	46288	43372	NEUTRAL	1.0000	0.0000	0.0000
356	40824	46624	43635	NEUTRAL	1.0000	0.0000	0.0000
357	41151	47269	44023	NEUTRAL	1.0000	0.0000	0.0000
358	41533	47759	44254	NEUTRAL	1.0000	0.0000	0.0000
359	41780	48096	44464	NEUTRAL	1.0000	0.0000	0.0000
360	41955	48465	44663	NEUTRAL	1.0000	0.0000	0.0000
361	42287	48888	45187	NEUTRAL	1.0000	0.0000	0.0000
362	42496	49318	45535	NEUTRAL	1.0000	0.0000	0.0000
363	42695	49627	45731	NEUTRAL	1.0000	0.0000	0.0000
364	43084	49862	46135	NEUTRAL	1.0000	0.0000	0.0000
365	43372	50141	46288	NEUTRAL	1.0000	0.0000	0.0000
366	43635	50369	46624	NEUTRAL	1.0000	0.0000	0.0000
367	44023	50681	47269	NEUTRAL	1.0000	0.0000	0.0000
368	44254	51025	47759	NEUTRAL	1.0000	0.0000	0.0000
369	44464	51527	48096	NEUTRAL	1.0000	0.0000	0.0000
370	44663	51827	48465	NEUTRAL	1.0000	0.0000	0.0000
371	45187	52137	48888	NEUTRAL	1.0000	0.0000	0.0000
372	45535	52332	49318	NEUTRAL	1.0000	0.0000	0.0000
373	45731	52743	49627	NEUTRAL	1.0000	0.0000	0.0000
374	46135	53201	49862	NEUTRAL	1.0000	0.0000	0.0000
375	46288	53615	50141	NEUTRAL	1.0000	0.0000	0.0000
376	46624	53991	50369	NEUTRAL	1.0000	0.0000	0.0000
377	47269	54291	50681	NEUTRAL	1.0000	0.0000	0.0000
378	47759	54529	51025	NEUTRAL	1.0000	0.0000	0.0000
379	48096	54715	51527	NEUTRAL	1.0000	0.0000	0.0000
380	48465	54919	51827	NEUTRAL	1.0000	0.0000	0.0000
381	48888	55886	52137	NEUTRAL	1.0000	0.0000	0.0000
382	49318	56754	52332	NEUTRAL	1.0000	0.0000	0.0000
383	49627	57191	52743	NEUTRAL	1.0000	0.0000	0.0000
384	49862	57649	53201	NEUTRAL	1.0000	0.0000	0.0000
385	50141	58110	53615	NEUTRAL	1.0000	0.0000	0.0000
386	50369	58524	53991	NEUTRAL	1.0000	0.0000	0.0000
387	50681	58875	54291	NEUTRAL	1.0000	0.0000	0.0000
388	51025	59220	54529	NEUTRAL	1.0000	0.0000	0.0000
389	51527	59439	54715	NEUTRAL	1.0000	0.0000	0.0000
390	51827	59637	54919	NEUTRAL	1.0000	0.0000	0.0000
391	52137	59876	55886	NEUTRAL	1.0000	0.0000	0.0000
392	52332	60082	56754	NEUTRAL	1.0000	0.0000	0.0000
393	52743	60173	57191	NEUTRAL	1.0000	0.0000	0.0000
394	53201	60294	57649	NEUTRAL	1.0000	0.0000	0.0000
395	53615	60557	58110	NEUTRAL	1.0000	0.0000	0.0000
396	53991	60665	58524	NEUTRAL	1.0000	0.0000	0.0000
397	54291	60833	58875	NEUTRAL	1.0000	0.0000	0.0000
398	54529	61010	59220	NEUTRAL	1.0000	0.0000	0.0000
399	54715	61322	59439	NEUTRAL	1.0000	0.0000	0.0000
400	54919	61514	59637	NEUTRAL	1.0000	0.0000	0.0000
401	55886	61652	59876	NEUTRAL	1.0000	0.0000	0.0000
402	56754	61761	60082	NEUTRAL	1.0000	0.0000	0.0000
403	57191	61991	60173	NEUTRAL	1.0000	0.0000	0.0000
404	57649	62207	60294	NEUTRAL	1.0000	0.0000	0.0000
405	58110	62331	60557	NEUTRAL	1.0000	0.0000	0.0000
406	58524	62447	60665	NEUTRAL	1.0000	0.0000	0.0000
407	58875	62956	60833	NEUTRAL	1.0000	0.0000	0.0000
408	59220	63097	61010	NEUTRAL	1.0000	0.0000	0.0000
